Date,US T-Note 10Y Yield,USD/EUR,US Unemployment,US GDP,XAU/USD,USD Index,OIL WTI,VIX,Interest Rates,US T-Bond 30Y Yield,US T-Note 5Y Yield,US T-Note 2Y Yield
2013-06-01,-0.104,-0.010,0.200,47.271,-153.260,-0.075,4.590,0.560,-0.020,-5.220,-1.390,-0.070
2013-05-01,0.638,0.030,-0.100,47.271,-90.200,1.661,-1.490,2.780,-0.040,-7.320,-1.660,-0.150
2013-04-01,-0.150,-0.035,-0.100,47.271,-119.570,-1.365,-3.770,0.820,0.010,3.910,0.190,0.060
2013-03-01,0.075,-0.015,-0.600,172.548,16.410,1.187,5.180,-2.810,-0.010,-0.810,0.070,-0.010
2013-02-01,-0.332,0.050,0.400,172.548,-83.230,2.962,-5.440,1.230,0.010,1.810,0.650,0.050
2013-01-01,0.087,-0.010,-0.300,172.548,-11.350,-0.645,5.670,-3.740,-0.020,-4.030,-0.830,-0.050
2012-12-01,0.219,-0.008,1.000,20.202,-40.060,-0.292,2.910,2.150,0.000,-3.910,-0.280,0.020
2012-11-01,-0.139,0.003,-0.800,20.202,-6.150,0.176,2.670,-2.730,0.000,2.100,0.590,0.080
2012-10-01,-0.024,0.011,0.100,20.202,-50.670,-0.038,-5.950,2.870,0.020,-0.070,-0.620,-0.080
2012-09-01,0.007,0.001,0.400,25.125,80.070,-1.191,-4.280,-1.740,0.010,-1.120,-0.080,-0.030
2012-08-01,0.251,-0.041,-0.200,25.125,77.250,-1.494,8.410,-1.460,-0.030,-0.530,0.170,-0.030
2012-07-01,-0.253,0.042,0.000,25.125,15.300,0.957,3.100,1.850,0.000,3.060,0.670,0.160
2012-06-01,0.436,-0.073,-0.200,77.515,37.900,-1.376,-1.570,-6.980,0.000,-2.310,-0.270,-0.120
2012-05-01,-0.061,0.048,0.700,77.515,-103.660,4.281,-18.340,6.910,0.020,7.400,0.580,-0.010
2012-04-01,-0.535,0.007,-0.600,77.515,-4.540,-0.290,1.850,1.650,0.010,5.130,0.940,0.120
2012-03-01,0.061,0.014,0.500,144.427,-26.300,0.344,-4.050,-2.930,0.030,-5.340,-0.440,-0.060
2012-02-01,0.260,-0.006,-0.500,144.427,-44.230,-0.623,8.590,-1.010,0.020,-2.350,-0.750,-0.170
2012-01-01,0.115,-0.037,0.300,144.427,175.130,-1.105,-0.350,-3.960,0.010,0.630,0.530,0.180
2011-12-01,-0.152,0.006,-0.300,191.270,-181.400,2.031,-1.530,-4.400,-0.010,3.190,0.510,0.000
2011-11-01,-0.243,0.048,0.100,191.270,30.450,2.185,7.170,-2.160,0.010,2.590,0.400,0.060
2011-10-01,0.516,-0.077,0.000,191.270,91.500,-2.769,13.990,-13.000,-0.010,-3.590,-0.750,-0.020
2011-09-01,0.242,0.051,-0.300,-3.801,-200.050,4.902,-9.610,11.340,-0.020,5.310,-0.140,-0.110
2011-08-01,-0.192,-0.004,0.300,-3.801,197.160,0.137,-6.890,6.370,0.030,9.190,2.050,0.310
2011-07-01,-0.468,0.011,-0.500,-3.801,126.540,-0.599,0.280,8.730,-0.020,5.090,1.030,0.010
2011-06-01,0.332,-0.025,0.500,114.482,-35.250,-0.061,-7.280,1.070,0.000,-3.130,0.140,-0.010
2011-05-01,-0.051,0.050,-0.300,114.482,-30.250,1.589,-11.230,0.700,-0.010,3.780,1.810,0.400
2011-04-01,-0.228,-0.012,-0.200,114.482,133.600,-2.965,7.210,-2.990,-0.040,2.190,0.680,0.080
2011-03-01,0.000,-0.013,0.300,-40.232,20.350,-0.849,9.750,-0.610,-0.020,-1.750,-0.090,-0.010
